K,n,japanese_accuracy,english_accuracy,japanese_mae,english_mae,japanese_rmse,english_rmse,japanese_qwk,english_qwk
1,100,0.43,0.45,0.62,0.6,0.848528137423857,0.8366600265340756,0.16763005780346818,0.28234570432643014
3,100,0.57,0.53,0.47,0.54,0.7416198487095663,0.8246211251235321,0.23184357541899436,0.15359721184963904
5,100,0.55,0.55,0.48,0.47,0.7348469228349535,0.714142842854285,0.22658264107705517,0.29635761589403975
7,100,0.51,0.51,0.52,0.51,0.7615773105863908,0.7416198487095663,0.138187221396731,0.19684579439252337
