from_K,to_K,improved_targets,unchanged_targets,worsened_targets,mean_ae_difference,median_ae_difference,paired_targets
0,1,6,77,17,-0.11,0.0,100
0,3,8,79,13,-0.05,0.0,100
1,3,16,74,10,0.06,0.0,100
3,5,12,83,5,0.07,0.0,100
5,7,5,86,9,-0.04,0.0,100
