K,n,exact_accuracy,mae,rmse,qwk,parse_success_rate,mean_prompt_tokens,median_prompt_tokens,p90_prompt_tokens,p95_prompt_tokens,max_prompt_tokens,mean_inference_time_seconds,total_inference_time_seconds,parse_errors,context_overflows
0,100,0.55,0.49,0.7549834435270749,0.28927680798004973,1.0,751.18,711.5,1028.2,1282.4999999999998,1594,0.9041590344599989,90.41590344599979,0,0
1,100,0.45,0.6,0.8366600265340756,0.28234570432643014,1.0,1288.19,1246.5,1669.3000000000004,1814.55,2726,1.4930053567399952,149.30053567399952,0,0
3,100,0.53,0.54,0.8246211251235321,0.15359721184963904,1.0,2373.38,2368.0,2833.0000000000005,2889.3,3997,2.35115418894,235.11541889400004,0,0
5,100,0.55,0.47,0.714142842854285,0.29635761589403975,1.0,3434.04,3406.0,3992.7000000000003,4197.849999999999,5315,3.1604003017499944,316.0400301749995,0,0
7,100,0.51,0.51,0.7416198487095663,0.19684579439252337,1.0,4544.39,4491.0,5264.5,5481.549999999999,7175,5.73705369775005,573.7053697750055,0,0
