condition,n,exact_accuracy,mae,rmse,qwk,parse_success_rate,mean_prompt_tokens,median_prompt_tokens,p90_prompt_tokens,mean_inference_time_seconds,total_inference_time_seconds,parse_errors,context_overflows
k0,100,0.55,0.49,0.7549834435270749,0.28927680798004973,1.0,751.18,711.5,1028.2,0.8997101493500029,89.9710149350001,0,0
k0_with_rubric,100,0.54,0.48,0.7211102550927979,0.2099665755089638,1.0,976.18,936.5,1253.2,1.4883797489700015,148.83797489700004,0,0
raw_k3,100,0.53,0.54,0.8246211251235321,0.15359721184963904,1.0,2373.38,2368.0,2833.0000000000005,2.3351284755000004,233.51284754999998,0,0
raw_k3_with_rubric,100,0.56,0.48,0.7483314773547883,0.2898808014202384,1.0,2598.38,2593.0,3058.0000000000005,1.4883797489700015,148.83797489700004,0,0
