condition,n,exact_accuracy,mae,rmse,qwk,parse_success_rate,mean_prompt_tokens,median_prompt_tokens,p90_prompt_tokens,mean_inference_time_seconds,total_inference_time_seconds,parse_errors,context_overflows
k0,100,0.55,0.49,0.7549834435270749,0.28927680798004973,1.0,751.18,711.5,1028.2,0.8997101493500029,89.9710149350001,0,0
wrong_rater_history,100,0.51,0.53,0.7937253933193772,0.23283000487092065,1.0,2371.32,2303.0,2975.9,2.2555610953600085,225.556109536001,0,0
correct_rater_history,100,0.53,0.54,0.8246211251235321,0.15359721184963904,1.0,2373.38,2368.0,2833.0000000000005,2.3351284755000004,233.51284754999998,0,0
