condition,n,exact_accuracy,mae,rmse,qwk,parse_success_rate,mean_prompt_tokens,median_prompt_tokens,p90_prompt_tokens,mean_inference_time_seconds,total_inference_time_seconds,parse_errors,context_overflows
k0_overall_rubric,100,0.54,0.48,0.7211102550927979,0.2099665755089638,1.0,976.18,936.5,1253.2,1.4883797489700015,148.83797489700004,0,0
k0_full_rubric,100,0.51,0.54,0.8,0.21433832555855648,1.0,1943.18,1903.5,2220.2,2.4671376905750364,246.71376905750355,0,0
correct_k3_overall_rubric,100,0.56,0.48,0.7483314773547883,0.2898808014202384,1.0,2598.38,2593.0,3058.0000000000005,1.4883797489700015,148.83797489700004,0,0
correct_k3_full_rubric,100,0.52,0.55,0.8306623862918074,0.18555240793201133,1.0,3565.38,3560.0,4025.0000000000005,2.4671376905750364,246.71376905750355,0,0
