from_condition,to_condition,improved_targets,unchanged_targets,worsened_targets,mean_ae_difference,median_ae_difference,accuracy_delta,mae_delta,rmse_delta,qwk_delta
k0_overall_rubric,k0_full_rubric,4,86,10,-0.06,0.0,-0.030000000000000027,0.06000000000000005,0.07888974490720213,0.004371750049592671
correct_k3_overall_rubric,correct_k3_full_rubric,4,85,11,-0.07,0.0,-0.040000000000000036,0.07000000000000006,0.08233090893701911,-0.10432839348822709
k0_full_rubric,correct_k3_full_rubric,7,85,8,-0.01,0.0,0.010000000000000009,0.010000000000000009,0.030662386291807397,-0.028785917626545143
