K,n,exact_accuracy,mae,rmse,qwk,parse_success_rate,mean_prompt_tokens,median_prompt_tokens,p90_prompt_tokens,mean_inference_time_seconds,total_inference_time_seconds,parse_errors,context_overflows
1,100,0.43,0.62,0.848528137423857,0.16763005780346818,1.0,1243.19,1201.5,1624.3000000000004,1.4202740701100267,142.02740701100257,0,0
3,100,0.57,0.47,0.7416198487095663,0.23184357541899436,1.0,2328.38,2323.0,2788.0000000000005,2.363928663289989,236.39286632899845,0,0
5,100,0.55,0.48,0.7348469228349535,0.22658264107705517,1.0,3389.04,3361.0,3947.7000000000003,7.402290171570056,740.229017157004,0,0
7,100,0.51,0.52,0.7615773105863908,0.138187221396731,1.0,4499.39,4446.0,5219.5,22.557101862179984,2255.7101862179948,0,0
