condition,n,exact_accuracy,mae,rmse,qwk,parse_success_rate,mean_prompt_tokens,median_prompt_tokens,p90_prompt_tokens,mean_inference_time_seconds,total_inference_time_seconds,parse_errors,context_overflows
existing_correct_k3_overall_rubric,100,0.56,0.48,0.7483314773547883,0.2898808014202384,1.0,2598.38,2593.0,3058.0000000000005,1.4883797489700015,148.83797489700004,0,0
boundary_aware_correct_k3_overall_rubric,100,0.55,0.49,0.7549834435270749,0.30147058823529405,1.0,2821.38,2816.0,3281.0000000000005,2.2838150667600017,228.3815066760001,0,0
