from_condition,to_condition,improved_targets,unchanged_targets,worsened_targets,mean_ae_difference,median_ae_difference,paired_targets
raw_history_k3,rater_profile,12,72,16,-0.04,0.0,100
k0,rater_profile,1,89,10,-0.09,0.0,100
